,DTM1,HOSP_TYPE,HOSP_SHORT,WFB,OCC,BASE,File_Name
49,2019-11-01 03:00:00,METRO,WCHP,7.0,65.0,92.0,Amb_Dashboard_2019.11.01_03.25
50,2019-11-01 03:00:00,METRO,NHS,0.0,37.0,51.0,Amb_Dashboard_2019.11.01_03.25
51,2019-11-01 03:00:00,METRO,LMH,8.0,232.0,194.0,Amb_Dashboard_2019.11.01_03.25
52,2019-11-01 03:00:00,METRO,MH,0.0,30.0,36.0,Amb_Dashboard_2019.11.01_03.25
53,2019-11-01 03:00:00,METRO,RAH,26.0,542.0,559.0,Amb_Dashboard_2019.11.01_03.25
54,2019-11-01 03:00:00,METRO,FMC,12.0,360.0,390.0,Amb_Dashboard_2019.11.01_03.25
55,2019-11-01 03:00:00,METRO,TQEH,8.0,223.0,278.0,Amb_Dashboard_2019.11.01_03.25
56,2019-11-01 03:30:00,METRO,TQEH,6.0,224.0,278.0,Amb_Dashboard_2019.11.01_03.55
57,2019-11-01 03:30:00,METRO,MH,0.0,30.0,36.0,Amb_Dashboard_2019.11.01_03.55
58,2019-11-01 03:30:00,METRO,RAH,26.0,543.0,559.0,Amb_Dashboard_2019.11.01_03.55
59,2019-11-01 03:30:00,METRO,NHS,0.0,37.0,51.0,Amb_Dashboard_2019.11.01_03.55
60,2019-11-01 03:30:00,METRO,FMC,12.0,361.0,390.0,Amb_Dashboard_2019.11.01_03.55
61,2019-11-01 03:30:00,METRO,WCHP,7.0,65.0,92.0,Amb_Dashboard_2019.11.01_03.55
62,2019-11-01 03:30:00,METRO,LMH,8.0,232.0,194.0,Amb_Dashboard_2019.11.01_03.55
63,2019-11-01 04:00:00,METRO,RAH,25.0,543.0,559.0,Amb_Dashboard_2019.11.01_04.25
64,2019-11-01 04:00:00,METRO,NHS,0.0,37.0,51.0,Amb_Dashboard_2019.11.01_04.25
65,2019-11-01 04:00:00,METRO,WCHP,7.0,65.0,92.0,Amb_Dashboard_2019.11.01_04.25
66,2019-11-01 04:00:00,METRO,MH,0.0,30.0,36.0,Amb_Dashboard_2019.11.01_04.25
67,2019-11-01 04:00:00,METRO,LMH,7.0,232.0,194.0,Amb_Dashboard_2019.11.01_04.25
68,2019-11-01 04:00:00,METRO,TQEH,6.0,226.0,278.0,Amb_Dashboard_2019.11.01_04.25
69,2019-11-01 04:00:00,METRO,FMC,11.0,361.0,390.0,Amb_Dashboard_2019.11.01_04.25
70,2019-11-01 04:30:00,METRO,NHS,0.0,37.0,51.0,Amb_Dashboard_2019.11.01_04.55
71,2019-11-01 04:30:00,METRO,FMC,11.0,362.0,390.0,Amb_Dashboard_2019.11.01_04.55
72,2019-11-01 04:30:00,METRO,MH,0.0,30.0,36.0,Amb_Dashboard_2019.11.01_04.55
